Date,SPY,QQQ,SCHD,AAPL
1/28/22,441.95,351.8,78.07,170.33
1/27/22,431.24,341.1,77.1,159.22
1/26/22,433.38,344.57,77.41,159.69
1/25/22,434.47,345.11,78.03,159.78
1/24/22,439.84,353.3,77.98,161.62
1/21/22,437.98,351.69,77.66,162.41
1/20/22,446.75,361.72,78.71,164.51
1/19/22,451.75,366.48,79.83,166.23
1/18/22,456.49,370.55,80.76,169.8
1/14/22,464.72,380.01,81.71,173.07
1/13/22,464.53,377.66,81.79,172.19
1/12/22,471.02,387.35,81.9,175.53
1/11/22,469.75,385.82,81.94,175.08
1/10/22,465.51,380.11,81.65,172.19
1/7/22,466.09,379.86,81.65,172.17
1/6/22,467.94,384.02,81.51,172
1/5/22,468.38,384.29,81.27,174.92
1/4/22,477.55,396.47,81.79,179.7
1/3/22,477.71,401.68,80.81,182.01
12/31/21,474.96,397.85,80.83,177.57
12/30/21,476.16,400.35,80.71,178.2
12/29/21,477.48,401.55,80.86,179.38
12/28/21,476.87,401.61,80.7,179.29
12/27/21,477.26,403.48,80.54,180.33
12/23/21,470.6,396.92,79.6,176.28
12/22/21,467.69,393.95,79.15,175.64
12/21/21,463.06,389.21,78.71,172.99
12/20/21,454.98,380.69,78.09,169.75
12/17/21,459.87,384.91,78.61,171.14
12/16/21,466.45,386.84,79.56,172.26
12/15/21,470.6,397.05,78.99,179.3
12/14/21,463.36,388.2,77.97,174.33
12/13/21,466.57,392.26,78.02,175.74
12/10/21,470.74,398.01,78.28,179.45
12/9/21,466.35,393.73,77.46,174.56
12/8/21,469.52,399.61,77.63,175.08
12/7/21,468.28,397.83,78.43,171.18
12/6/21,458.79,386.2,77.6,165.32
12/3/21,453.42,383.13,76.84,161.84
12/2/21,457.4,389.91,76.7,163.76
12/1/21,450.5,387.12,75.57,164.77
11/30/21,455.56,393.82,75.92,165.3
11/29/21,464.6,399.69,77.55,160.24
11/26/21,458.97,391.2,77.29,156.81
11/24/21,469.44,398.76,78.73,161.94
11/23/21,468.19,397.48,78.97,161.41
11/22/21,467.57,399.3,78.53,161.02
11/19/21,468.89,403.99,78.16,160.55
11/18/21,469.73,401.75,78.66,157.87
11/17/21,468.14,397.63,78.97,153.49
11/16/21,469.28,397.42,79.28,151
11/15/21,467.43,394.61,79.19,150
11/12/21,467.27,394.7,79.14,149.99
11/11/21,463.77,390.59,78.92,147.87
11/10/21,463.62,389.51,78.78,147.92
11/9/21,467.38,395.32,78.68,150.81
11/8/21,468.93,398.06,78.83,150.44
11/5/21,468.53,398.6,78.89,151.28
11/4/21,466.91,398.22,78.41,150.96
11/3/21,464.72,393.18,78.67,151.49
11/2/21,461.9,389.05,78.21,150.02
11/1/21,460.04,387.43,77.68,148.96
10/29/21,459.25,386.11,77.51,149.8
10/28/21,458.32,384.22,77.54,152.57
10/27/21,453.94,380,76.91,148.85
10/26/21,455.96,379.12,77.98,149.32
10/25/21,455.55,377.93,78.19,148.64
10/22/21,453.12,374.1,78,148.69
10/21/21,453.59,377.27,77.79,149.48
10/20/21,452.41,374.98,78.18,149.26
10/19/21,450.64,375.47,77.43,148.76
10/18/21,447.19,372.65,76.75,146.55
10/15/21,445.87,368.94,77,144.84
10/14/21,442.5,366.63,76.66,143.76
10/13/21,435.18,360,75.5,140.91
10/12/21,433.62,357.14,75.31,141.51
10/11/21,434.69,358.39,75.68,142.81
10/8/21,437.86,361.16,76.05,142.9
10/7/21,438.66,362.97,76.07,143.29
10/6/21,434.9,359.67,75.5,142
10/5/21,433.1,357.38,75.38,141.11
10/4/21,428.64,352.62,74.93,139.14
10/1/21,434.24,360.18,75.23,142.65
9/30/21,429.14,357.96,74.24,141.5
9/29/21,434.45,359.28,75.39,142.83
9/28/21,433.72,359.87,75.03,141.91
9/27/21,442.64,370.35,75.93,145.37
9/24/21,443.91,373.33,75.44,146.92
9/23/21,443.18,372.98,75.29,146.83
9/22/21,437.86,369.57,74.29,145.85
9/21/21,433.63,366.15,74.23,143.43
9/20/21,434.04,365.7,74.5,142.94
9/17/21,441.4,373.83,75.55,146.06
9/16/21,447.17,378.31,76.04,148.79
9/15/21,447.88,378.05,76.55,149.03
9/14/21,444.17,375.26,75.87,148.12
9/13/21,446.58,376.33,76.4,149.55
9/10/21,445.44,376.59,76.03,148.97
9/9/21,448.98,379.47,76.39,154.07
9/8/21,450.91,380.78,76.8,155.11
9/7/21,451.46,382.11,76.76,156.69
9/3/21,453.08,381.57,77.79,154.3
9/2/21,453.19,380.4,77.83,153.65
9/1/21,451.8,380.58,77.34,152.51
8/31/21,451.56,379.95,77.7,151.83
8/30/21,452.23,380.26,77.64,153.12
8/27/21,450.25,376.04,77.74,148.6
8/26/21,446.26,372.42,77.1,147.54
8/25/21,448.91,374.8,77.49,148.36
8/24/21,447.97,374.37,77.34,149.62
8/23/21,447.26,373.23,77.4,149.71
8/20/21,443.36,367.73,76.92,148.19
8/19/21,439.86,363.96,76.5,146.7
8/18/21,439.18,362.21,76.49,146.36
8/17/21,444.04,365.73,77.6,150.19
8/16/21,446.97,368.98,78.13,151.12
8/13/21,445.92,368.82,77.83,149.1
8/12/21,445.11,367.53,77.67,148.89
8/11/21,443.78,366.21,77.6,145.86
8/10/21,442.68,366.84,77.19,145.6
8/9/21,442.13,368.73,76.5,146.09
8/6/21,442.49,368.05,76.56,146.14
8/5/21,441.76,369.67,76.32,147.06
8/4/21,438.98,367.34,75.9,146.95
8/3/21,441.15,366.81,76.87,147.36
8/2/21,437.59,364.6,75.98,145.52
7/30/21,438.51,364.57,76.11,145.86
7/29/21,440.65,366.48,76.31,145.64
7/28/21,438.83,365.83,75.84,144.98
7/27/21,439.01,364.43,75.94,146.77
7/26/21,441.02,368.49,76,148.99
7/23/21,439.94,368.2,75.81,148.56
7/22/21,435.46,363.95,75.22,146.8
7/21/21,434.55,361.56,75.8,145.4
7/20/21,431.06,358.79,75.22,146.15
7/19/21,424.97,354.67,74.23,142.45
7/16/21,431.34,357.6,75.45,146.39
7/15/21,434.75,360.52,76.04,148.48
7/14/21,436.24,363.07,75.89,149.15
7/13/21,435.59,362.42,75.8,145.64
7/12/21,437.08,362.42,76.21,144.5
7/9/21,435.52,361.01,76.03,145.11
7/8/21,430.92,358.77,74.92,143.24
7/7/21,434.46,360.95,75.6,144.57
7/6/21,432.93,360.19,75.26,142.02
7/2/21,433.72,358.64,76.07,139.96
7/1/21,430.43,354.57,75.97,137.27
6/30/21,428.06,354.43,75.62,136.96
6/29/21,427.7,354.99,75.22,136.33
6/28/21,427.47,353.71,75.3,134.78
6/25/21,426.61,349.46,75.52,133.11
6/24/21,425.1,349.89,75.03,133.41
6/23/21,422.6,347.74,74.53,133.7
6/22/21,423.11,347.57,75.41,133.98
6/21/21,420.86,344.36,75.31,132.3
6/18/21,414.92,342.63,73.97,130.46
6/17/21,421.97,345.34,75.32,131.79
6/16/21,422.11,341.01,76.33,130.15
6/15/21,424.48,342.26,76.91,129.64
6/14/21,425.26,344.51,76.95,130.48
6/11/21,424.31,341.24,77.33,127.35
6/10/21,423.61,340.35,77.21,126.11
6/9/21,421.65,336.84,76.99,127.13
6/8/21,422.28,336.76,77.23,126.74
6/7/21,422.19,336.6,77.31,125.9
6/4/21,422.6,335.6,77.65,125.89
6/3/21,418.77,330,77.16,123.54
6/2/21,420.33,333.47,77.21,125.06
6/1/21,419.67,332.82,76.98,124.28
5/28/21,420.04,333.93,76.93,124.61
5/27/21,419.29,332.88,76.8,125.28
5/26/21,419.07,334.13,76.5,126.85
5/25/21,418.24,332.97,76.51,126.9
5/24/21,419.17,332.51,77.05,127.1
5/21/21,414.94,327.01,76.81,125.43
5/20/21,415.28,328.83,76.7,127.31
5/19/21,410.86,322.59,76.25,124.69
5/18/21,411.94,322.22,76.56,124.85
5/17/21,415.52,324.41,77.41,126.27
5/14/21,416.58,326.39,77.36,127.45
5/13/21,410.28,319.34,76.66,124.97
5/12/21,405.41,316.89,75.33,122.77
5/11/21,414.21,325.31,76.69,125.91
5/10/21,417.94,325.76,77.49,126.85
5/7/21,422.12,334.2,77.41,130.21
5/6/21,419.07,331.51,77.08,129.74
5/5/21,415.75,329.03,76.12,128.1
5/4/21,415.62,330.14,75.75,127.85
5/3/21,418.2,336.19,75.29,132.54
4/30/21,417.3,337.99,74.53,131.46
4/29/21,420.06,340.22,74.91,133.48
4/28/21,417.4,339,74.28,133.58
4/27/21,417.52,340.15,74.73,134.39
4/26/21,417.61,341.63,74.82,134.72
4/23/21,416.74,339.42,74.96,134.32
4/22/21,412.27,335.2,74.29,131.94
4/21/21,416.07,339.29,75.24,133.5
4/20/21,412.17,336.41,74.4,133.11
4/19/21,415.21,338.88,74.85,134.84
4/16/21,417.26,342.01,75.19,134.16
4/15/21,415.87,341.61,74.57,134.5
4/14/21,411.45,336.51,74.23,132.03
4/13/21,412.86,340.6,74.04,134.43
4/12/21,411.64,336.67,74.46,131.24
4/9/21,411.49,337.11,74.26,133
4/8/21,408.52,335.08,73.84,130.36
4/7/21,406.59,331.62,73.81,127.9
4/6/21,406.12,330.82,73.98,126.21
4/5/21,406.36,331.05,74.25,125.9
4/1/21,400.61,324.57,73.32,123
3/31/21,396.33,319.13,72.92,122.15
3/30/21,394.73,314.32,73.2,119.9
3/29/21,395.78,315.91,73.54,121.39
3/26/21,395.98,316,73.67,121.21
3/25/21,389.7,311.33,72,120.59
3/24/21,387.52,311.87,71.07,120.09
3/23/21,389.5,317.22,71.43,122.54
3/22/21,392.59,318.61,72.23,123.39
3/19/21,389.48,313.14,71.98,119.99
3/18/21,391.48,312.04,72.25,120.53
3/17/21,397.26,321.9,72.35,124.76
3/16/21,395.91,320.58,72.03,125.57
3/15/21,396.41,318.83,72.63,123.99
3/12/21,394.06,315.46,72.55,121.03
3/11/21,393.53,318.04,71.88,121.96
3/10/21,389.58,310.88,71.87,119.98
3/9/21,387.17,311.77,70.7,121.09
3/8/21,381.72,299.94,71.1,116.36
3/5/21,383.63,308.68,70.17,121.42
3/4/21,376.7,304.1,68.34,120.13
3/3/21,381.42,309.16,69.03,122.06
3/2/21,386.54,318.4,68.85,125.12
3/1/21,389.58,323.59,69.1,127.79
2/26/21,380.36,314.14,67.41,121.26
2/25/21,382.33,312.83,68.29,120.99
2/24/21,391.77,324.13,69.7,125.35
2/23/21,387.5,321.48,68.52,125.86
2/22/21,387.03,322.44,68.36,126
2/19/21,390.03,331.02,67.79,129.87
2/18/21,390.72,332.47,67.23,129.71
2/17/21,392.39,333.93,67.46,130.84
2/16/21,392.3,335.54,67.37,133.19
2/12/21,392.64,336.45,67.02,135.37
2/11/21,390.71,334.58,66.7,135.13
2/10/21,390.08,332.75,66.94,135.39
2/9/21,390.25,333.51,66.89,136.01
2/8/21,390.51,333.58,66.82,136.91
2/5/21,387.71,331.36,66.03,136.76
2/4/21,386.19,330.24,65.72,137.39
2/3/21,381.85,326.38,65.17,133.94
2/2/21,381.55,327.68,64.92,134.99
2/1/21,376.23,322.42,64.23,134.14
1/29/21,370.07,314.56,63.56,131.96
1/28/21,377.63,321.32,64.98,137.09
1/27/21,374.41,319.43,64.5,142.06
1/26/21,383.79,328.59,65.76,143.16
1/25/21,384.39,328.11,65.84,142.92
1/22/21,382.88,325.42,65.72,139.07
1/21/21,384.24,326.36,66.21,136.87
1/20/21,383.89,323.77,66.39,132.03
1/19/21,378.65,316.41,66.3,127.83
1/15/21,375.7,311.86,65.87,127.14
1/14/21,378.46,314.35,66.67,128.91
1/13/21,379.79,316.04,66.35,130.89
1/12/21,378.77,313.92,66.6,128.8
1/11/21,378.69,314.42,66.01,128.98
1/8/21,381.26,319.03,65.74,132.05
1/7/21,379.1,314.98,65.94,130.92
1/6/21,373.55,307.54,65.5,126.6
1/5/21,371.33,311.86,63.74,131.01
1/4/21,368.79,309.31,63.23,129.41
12/31/20,373.88,313.74,64.14,132.69
12/30/20,371.99,312.97,63.77,133.72
12/29/20,371.46,312.96,63.49,134.87
12/28/20,372.17,312.68,63.86,136.69
12/24/20,369,309.56,63.83,131.97
12/23/20,367.57,308.2,63.72,130.96
12/22/20,367.24,309.76,63.15,131.88
12/21/20,367.86,308.92,63.5,128.23
12/18/20,369.18,310.06,63.94,126.66
12/17/20,372.24,311,64.13,128.7
12/16/20,370.17,308.98,63.99,127.81
12/15/20,369.59,307.29,63.92,127.88
12/14/20,364.66,304.04,63.08,121.78
12/11/20,366.3,301.85,63.9,122.41
12/10/20,366.73,302.52,64.26,123.24
12/9/20,366.85,301.31,65.16,121.78
12/8/20,370.17,308.29,65.1,124.38
12/7/20,369.09,307.25,64.69,123.75
12/4/20,369.85,305.52,65.12,122.25
12/3/20,366.69,304.28,64.07,122.94
12/2/20,366.79,303.85,63.93,123.08
12/1/20,366.02,303.46,63.64,122.72
11/30/20,362.06,299.62,62.82,119.05
11/27/20,363.67,299.01,63.68,116.59
11/25/20,362.66,296.28,63.81,116.03
11/24/20,363.22,294.47,64.41,115.17
11/23/20,357.46,290.39,62.85,113.85
11/20/20,355.33,290.38,61.86,117.34
11/19/20,357.78,292.38,62.29,118.64
11/18/20,356.28,290.11,62.1,118.03
11/17/20,360.62,292.27,62.75,119.39
11/16/20,362.57,293.2,62.88,120.3
11/13/20,358.1,290.93,61.51,119.26
11/12/20,353.21,288.4,60.36,119.21
11/11/20,356.67,289.76,61.42,119.49
11/10/20,354.04,283.42,61.43,115.97
11/9/20,354.56,288.59,60.79,116.32
11/6/20,350.16,294.61,58.03,118.69
11/5/20,350.24,294.39,58.43,119.03
11/4/20,343.54,286.91,57.07,114.95
11/3/20,336.03,274.65,57.76,110.44
11/2/20,330.2,269.98,56.75,108.77
10/30/20,326.54,269.38,55.51,108.86
10/29/20,329.98,276.39,55.52,115.32
10/28/20,326.66,271.64,54.8,111.2
10/27/20,338.22,282.66,56.54,116.6
10/26/20,339.39,280.47,57.36,115.05
10/23/20,345.78,284.74,58.7,115.04
10/22/20,344.61,284.18,58.38,115.75
10/21/20,342.73,284.19,57.72,116.87
10/20/20,343.38,284.41,58.14,117.51
10/19/20,342.01,283.8,57.98,115.98
10/16/20,347.29,288.51,58.73,119.02
10/15/20,347.5,290.1,58.63,120.71
10/14/20,347.93,292.06,58.33,121.19
10/13/20,350.13,294.52,58.36,121.1
10/12/20,352.43,294.53,58.85,124.4
10/9/20,346.85,285.71,58.48,116.97
10/8/20,343.78,281.41,58.37,114.97
10/7/20,340.76,279.92,57.51,115.08
10/6/20,334.93,275.16,56.36,113.16
10/5/20,339.76,280.16,56.73,116.5
10/2/20,333.84,274.31,55.52,113.02
10/1/20,337.04,282.25,55.27,116.79
9/30/20,334.89,277.84,55.3,115.81
9/29/20,332.37,275.95,54.92,114.09
9/28/20,334.19,277.2,55.46,114.96
9/25/20,328.73,271.56,54.27,112.28
9/24/20,323.5,265.39,53.71,108.22
9/23/20,322.64,264.16,53.53,107.12
9/22/20,330.3,272.48,55.14,111.81
9/21/20,326.97,267.51,55.14,110.08
9/18/20,330.65,266.87,56.6,106.84
9/17/20,335.84,270.32,57.12,110.34
9/16/20,338.82,274.61,57.26,112.13
9/15/20,340.17,279.06,56.9,115.54
9/14/20,338.46,275.16,56.99,115.36
9/11/20,334.06,270.45,56.15,112
9/10/20,333.89,272.34,55.76,113.49
9/9/20,339.79,277.88,56.6,117.32
9/8/20,333.21,269.95,55.94,112.82
9/4/20,342.57,283.58,57.33,120.96
9/3/20,345.39,287.41,57.23,120.88
9/2/20,357.7,302.76,58.54,131.4
9/1/20,352.6,299.92,57.46,134.18
8/31/20,349.31,294.88,57.28,129.04
8/28/20,350.58,292.53,57.87,124.81
8/27/20,348.33,291.05,57.37,125.01
8/26/20,347.57,291.96,57.02,126.52
8/25/20,344.12,285.86,57.22,124.83
8/24/20,342.92,283.63,57.52,125.86
8/21/20,339.48,281.87,56.35,124.37
8/20/20,338.28,279.93,56.4,118.28
8/19/20,337.23,276.1,56.75,115.71
8/18/20,338.64,277.97,56.92,115.56
8/17/20,337.91,275.32,57.17,114.61
8/14/20,336.84,272.16,57.43,114.91
8/13/20,336.83,272.48,57.21,115.01
8/12/20,337.44,271.86,57.59,113.01
8/11/20,332.8,265.19,57.26,109.38
8/10/20,335.57,270.31,56.96,112.73
8/7/20,334.57,271.47,56.24,111.11
8/6/20,334.33,274.64,55.44,113.9
8/5/20,332.11,271.05,55.52,110.06
8/4/20,330.06,270.38,54.92,109.67
8/3/20,328.79,269.38,54.72,108.94
7/31/20,326.52,265.79,54.49,106.26
7/30/20,323.96,261.13,54.66,96.19
7/29/20,325.12,259.77,54.69,95.04
7/28/20,321.17,256.81,53.9,93.25
7/27/20,323.22,260.12,54.22,94.81
7/24/20,320.88,255.56,53.84,92.62
7/23/20,322.96,258.01,54.08,92.85
