Date,SPY,QQQ
1/28/22,441.95,351.8
1/27/22,431.24,341.1
1/26/22,433.38,344.57
1/25/22,434.47,345.11
1/24/22,439.84,353.3
1/21/22,437.98,351.69
1/20/22,446.75,361.72
1/19/22,451.75,366.48
1/18/22,456.49,370.55
1/14/22,464.72,380.01
1/13/22,464.53,377.66
1/12/22,471.02,387.35
1/11/22,469.75,385.82
1/10/22,465.51,380.11
1/7/22,466.09,379.86
1/6/22,467.94,384.02
1/5/22,468.38,384.29
1/4/22,477.55,396.47
1/3/22,477.71,401.68
12/31/21,474.96,397.85
12/30/21,476.16,400.35
12/29/21,477.48,401.55
12/28/21,476.87,401.61
12/27/21,477.26,403.48
12/23/21,470.6,396.92
12/22/21,467.69,393.95
12/21/21,463.06,389.21
12/20/21,454.98,380.69
12/17/21,459.87,384.91
12/16/21,466.45,386.84
12/15/21,470.6,397.05
12/14/21,463.36,388.2
12/13/21,466.57,392.26
12/10/21,470.74,398.01
12/9/21,466.35,393.73
12/8/21,469.52,399.61
12/7/21,468.28,397.83
12/6/21,458.79,386.2
12/3/21,453.42,383.13
12/2/21,457.4,389.91
12/1/21,450.5,387.12
11/30/21,455.56,393.82
11/29/21,464.6,399.69
11/26/21,458.97,391.2
11/24/21,469.44,398.76
11/23/21,468.19,397.48
11/22/21,467.57,399.3
11/19/21,468.89,403.99
11/18/21,469.73,401.75
11/17/21,468.14,397.63
11/16/21,469.28,397.42
11/15/21,467.43,394.61
11/12/21,467.27,394.7
11/11/21,463.77,390.59
11/10/21,463.62,389.51
11/9/21,467.38,395.32
11/8/21,468.93,398.06
11/5/21,468.53,398.6
11/4/21,466.91,398.22
11/3/21,464.72,393.18
11/2/21,461.9,389.05
11/1/21,460.04,387.43
10/29/21,459.25,386.11
10/28/21,458.32,384.22
10/27/21,453.94,380
10/26/21,455.96,379.12
10/25/21,455.55,377.93
10/22/21,453.12,374.1
10/21/21,453.59,377.27
10/20/21,452.41,374.98
10/19/21,450.64,375.47
10/18/21,447.19,372.65
10/15/21,445.87,368.94
10/14/21,442.5,366.63
10/13/21,435.18,360
10/12/21,433.62,357.14
10/11/21,434.69,358.39
10/8/21,437.86,361.16
10/7/21,438.66,362.97
10/6/21,434.9,359.67
10/5/21,433.1,357.38
10/4/21,428.64,352.62
10/1/21,434.24,360.18
9/30/21,429.14,357.96
9/29/21,434.45,359.28
9/28/21,433.72,359.87
9/27/21,442.64,370.35
9/24/21,443.91,373.33
9/23/21,443.18,372.98
9/22/21,437.86,369.57
9/21/21,433.63,366.15
9/20/21,434.04,365.7
9/17/21,441.4,373.83
9/16/21,447.17,378.31
9/15/21,447.88,378.05
9/14/21,444.17,375.26
9/13/21,446.58,376.33
9/10/21,445.44,376.59
9/9/21,448.98,379.47
9/8/21,450.91,380.78
9/7/21,451.46,382.11
9/3/21,453.08,381.57
9/2/21,453.19,380.4
9/1/21,451.8,380.58
8/31/21,451.56,379.95
8/30/21,452.23,380.26
8/27/21,450.25,376.04
8/26/21,446.26,372.42
8/25/21,448.91,374.8
8/24/21,447.97,374.37
8/23/21,447.26,373.23
8/20/21,443.36,367.73
8/19/21,439.86,363.96
8/18/21,439.18,362.21
8/17/21,444.04,365.73
8/16/21,446.97,368.98
8/13/21,445.92,368.82
8/12/21,445.11,367.53
8/11/21,443.78,366.21
8/10/21,442.68,366.84
8/9/21,442.13,368.73
8/6/21,442.49,368.05
8/5/21,441.76,369.67
8/4/21,438.98,367.34
8/3/21,441.15,366.81
8/2/21,437.59,364.6
7/30/21,438.51,364.57
7/29/21,440.65,366.48
7/28/21,438.83,365.83
7/27/21,439.01,364.43
7/26/21,441.02,368.49
7/23/21,439.94,368.2
7/22/21,435.46,363.95
7/21/21,434.55,361.56
7/20/21,431.06,358.79
7/19/21,424.97,354.67
7/16/21,431.34,357.6
7/15/21,434.75,360.52
7/14/21,436.24,363.07
7/13/21,435.59,362.42
7/12/21,437.08,362.42
7/9/21,435.52,361.01
7/8/21,430.92,358.77
7/7/21,434.46,360.95
7/6/21,432.93,360.19
7/2/21,433.72,358.64
7/1/21,430.43,354.57
6/30/21,428.06,354.43
6/29/21,427.7,354.99
6/28/21,427.47,353.71
6/25/21,426.61,349.46
6/24/21,425.1,349.89
6/23/21,422.6,347.74
6/22/21,423.11,347.57
6/21/21,420.86,344.36
6/18/21,414.92,342.63
6/17/21,421.97,345.34
6/16/21,422.11,341.01
6/15/21,424.48,342.26
6/14/21,425.26,344.51
6/11/21,424.31,341.24
6/10/21,423.61,340.35
6/9/21,421.65,336.84
6/8/21,422.28,336.76
6/7/21,422.19,336.6
6/4/21,422.6,335.6
6/3/21,418.77,330
6/2/21,420.33,333.47
6/1/21,419.67,332.82
5/28/21,420.04,333.93
5/27/21,419.29,332.88
5/26/21,419.07,334.13
5/25/21,418.24,332.97
5/24/21,419.17,332.51
5/21/21,414.94,327.01
5/20/21,415.28,328.83
5/19/21,410.86,322.59
5/18/21,411.94,322.22
5/17/21,415.52,324.41
5/14/21,416.58,326.39
5/13/21,410.28,319.34
5/12/21,405.41,316.89
5/11/21,414.21,325.31
5/10/21,417.94,325.76
5/7/21,422.12,334.2
5/6/21,419.07,331.51
5/5/21,415.75,329.03
5/4/21,415.62,330.14
5/3/21,418.2,336.19
4/30/21,417.3,337.99
4/29/21,420.06,340.22
4/28/21,417.4,339
4/27/21,417.52,340.15
4/26/21,417.61,341.63
4/23/21,416.74,339.42
4/22/21,412.27,335.2
4/21/21,416.07,339.29
4/20/21,412.17,336.41
4/19/21,415.21,338.88
4/16/21,417.26,342.01
4/15/21,415.87,341.61
4/14/21,411.45,336.51
4/13/21,412.86,340.6
4/12/21,411.64,336.67
4/9/21,411.49,337.11
4/8/21,408.52,335.08
4/7/21,406.59,331.62
4/6/21,406.12,330.82
4/5/21,406.36,331.05
4/1/21,400.61,324.57
3/31/21,396.33,319.13
3/30/21,394.73,314.32
3/29/21,395.78,315.91
3/26/21,395.98,316
3/25/21,389.7,311.33
3/24/21,387.52,311.87
3/23/21,389.5,317.22
3/22/21,392.59,318.61
3/19/21,389.48,313.14
3/18/21,391.48,312.04
3/17/21,397.26,321.9
3/16/21,395.91,320.58
3/15/21,396.41,318.83
3/12/21,394.06,315.46
3/11/21,393.53,318.04
3/10/21,389.58,310.88
3/9/21,387.17,311.77
3/8/21,381.72,299.94
3/5/21,383.63,308.68
3/4/21,376.7,304.1
3/3/21,381.42,309.16
3/2/21,386.54,318.4
3/1/21,389.58,323.59
2/26/21,380.36,314.14
2/25/21,382.33,312.83
2/24/21,391.77,324.13
2/23/21,387.5,321.48
2/22/21,387.03,322.44
2/19/21,390.03,331.02
2/18/21,390.72,332.47
2/17/21,392.39,333.93
2/16/21,392.3,335.54
2/12/21,392.64,336.45
2/11/21,390.71,334.58
2/10/21,390.08,332.75
2/9/21,390.25,333.51
2/8/21,390.51,333.58
2/5/21,387.71,331.36
2/4/21,386.19,330.24
2/3/21,381.85,326.38
2/2/21,381.55,327.68
2/1/21,376.23,322.42
1/29/21,370.07,314.56
1/28/21,377.63,321.32
1/27/21,374.41,319.43
1/26/21,383.79,328.59
1/25/21,384.39,328.11
1/22/21,382.88,325.42
1/21/21,384.24,326.36
1/20/21,383.89,323.77
1/19/21,378.65,316.41
1/15/21,375.7,311.86
1/14/21,378.46,314.35
1/13/21,379.79,316.04
1/12/21,378.77,313.92
1/11/21,378.69,314.42
1/8/21,381.26,319.03
1/7/21,379.1,314.98
1/6/21,373.55,307.54
1/5/21,371.33,311.86
1/4/21,368.79,309.31
12/31/20,373.88,313.74
12/30/20,371.99,312.97
12/29/20,371.46,312.96
12/28/20,372.17,312.68
12/24/20,369,309.56
12/23/20,367.57,308.2
12/22/20,367.24,309.76
12/21/20,367.86,308.92
12/18/20,369.18,310.06
12/17/20,372.24,311
12/16/20,370.17,308.98
12/15/20,369.59,307.29
12/14/20,364.66,304.04
12/11/20,366.3,301.85
12/10/20,366.73,302.52
12/9/20,366.85,301.31
12/8/20,370.17,308.29
12/7/20,369.09,307.25
12/4/20,369.85,305.52
12/3/20,366.69,304.28
12/2/20,366.79,303.85
12/1/20,366.02,303.46
11/30/20,362.06,299.62
11/27/20,363.67,299.01
11/25/20,362.66,296.28
11/24/20,363.22,294.47
11/23/20,357.46,290.39
11/20/20,355.33,290.38
11/19/20,357.78,292.38
11/18/20,356.28,290.11
11/17/20,360.62,292.27
11/16/20,362.57,293.2
11/13/20,358.1,290.93
11/12/20,353.21,288.4
11/11/20,356.67,289.76
11/10/20,354.04,283.42
11/9/20,354.56,288.59
11/6/20,350.16,294.61
11/5/20,350.24,294.39
11/4/20,343.54,286.91
11/3/20,336.03,274.65
11/2/20,330.2,269.98
10/30/20,326.54,269.38
10/29/20,329.98,276.39
10/28/20,326.66,271.64
10/27/20,338.22,282.66
10/26/20,339.39,280.47
10/23/20,345.78,284.74
10/22/20,344.61,284.18
10/21/20,342.73,284.19
10/20/20,343.38,284.41
10/19/20,342.01,283.8
10/16/20,347.29,288.51
10/15/20,347.5,290.1
10/14/20,347.93,292.06
10/13/20,350.13,294.52
10/12/20,352.43,294.53
10/9/20,346.85,285.71
10/8/20,343.78,281.41
10/7/20,340.76,279.92
10/6/20,334.93,275.16
10/5/20,339.76,280.16
10/2/20,333.84,274.31
10/1/20,337.04,282.25
9/30/20,334.89,277.84
9/29/20,332.37,275.95
9/28/20,334.19,277.2
9/25/20,328.73,271.56
9/24/20,323.5,265.39
9/23/20,322.64,264.16
9/22/20,330.3,272.48
9/21/20,326.97,267.51
9/18/20,330.65,266.87
9/17/20,335.84,270.32
9/16/20,338.82,274.61
9/15/20,340.17,279.06
9/14/20,338.46,275.16
9/11/20,334.06,270.45
9/10/20,333.89,272.34
9/9/20,339.79,277.88
9/8/20,333.21,269.95
9/4/20,342.57,283.58
9/3/20,345.39,287.41
9/2/20,357.7,302.76
9/1/20,352.6,299.92
8/31/20,349.31,294.88
8/28/20,350.58,292.53
8/27/20,348.33,291.05
8/26/20,347.57,291.96
8/25/20,344.12,285.86
8/24/20,342.92,283.63
8/21/20,339.48,281.87
8/20/20,338.28,279.93
8/19/20,337.23,276.1
8/18/20,338.64,277.97
8/17/20,337.91,275.32
8/14/20,336.84,272.16
8/13/20,336.83,272.48
8/12/20,337.44,271.86
8/11/20,332.8,265.19
8/10/20,335.57,270.31
8/7/20,334.57,271.47
8/6/20,334.33,274.64
8/5/20,332.11,271.05
8/4/20,330.06,270.38
8/3/20,328.79,269.38
7/31/20,326.52,265.79
7/30/20,323.96,261.13
7/29/20,325.12,259.77
7/28/20,321.17,256.81
7/27/20,323.22,260.12
7/24/20,320.88,255.56
7/23/20,322.96,258.01
7/22/20,326.86,264.93
7/21/20,325.01,264
7/20/20,324.32,266.78
7/17/20,321.72,259.42
7/16/20,320.79,259.12
7/15/20,321.85,260.9
7/14/20,318.92,260.37
7/13/20,314.84,258.54
7/10/20,317.59,263.97
7/9/20,314.38,262.18
7/8/20,316.18,259.99
7/7/20,313.78,256.61
7/6/20,317.05,258.39
7/2/20,312.23,252.19
7/1/20,310.52,250.49
6/30/20,308.36,247.6
6/29/20,304.46,242.84
6/26/20,300.05,240.22
6/25/20,307.35,246.03
