Date,Close/Last
1/28/22,351.8
1/27/22,341.1
1/26/22,344.57
1/25/22,345.11
1/24/22,353.3
1/21/22,351.69
1/20/22,361.72
1/19/22,366.48
1/18/22,370.55
1/14/22,380.01
1/13/22,377.66
1/12/22,387.35
1/11/22,385.82
1/10/22,380.11
1/7/22,379.86
1/6/22,384.02
1/5/22,384.29
1/4/22,396.47
1/3/22,401.68
12/31/21,397.85
12/30/21,400.35
12/29/21,401.55
12/28/21,401.61
12/27/21,403.48
12/23/21,396.92
12/22/21,393.95
12/21/21,389.21
12/20/21,380.69
12/17/21,384.91
12/16/21,386.84
12/15/21,397.05
12/14/21,388.2
12/13/21,392.26
12/10/21,398.01
12/9/21,393.73
12/8/21,399.61
12/7/21,397.83
12/6/21,386.2
12/3/21,383.13
12/2/21,389.91
12/1/21,387.12
11/30/21,393.82
11/29/21,399.69
11/26/21,391.2
11/24/21,398.76
11/23/21,397.48
11/22/21,399.3
11/19/21,403.99
11/18/21,401.75
11/17/21,397.63
11/16/21,397.42
11/15/21,394.61
11/12/21,394.7
11/11/21,390.59
11/10/21,389.51
11/9/21,395.32
11/8/21,398.06
11/5/21,398.6
11/4/21,398.22
11/3/21,393.18
11/2/21,389.05
11/1/21,387.43
10/29/21,386.11
10/28/21,384.22
10/27/21,380
10/26/21,379.12
10/25/21,377.93
10/22/21,374.1
10/21/21,377.27
10/20/21,374.98
10/19/21,375.47
10/18/21,372.65
10/15/21,368.94
10/14/21,366.63
10/13/21,360
10/12/21,357.14
10/11/21,358.39
10/8/21,361.16
10/7/21,362.97
10/6/21,359.67
10/5/21,357.38
10/4/21,352.62
10/1/21,360.18
9/30/21,357.96
9/29/21,359.28
9/28/21,359.87
9/27/21,370.35
9/24/21,373.33
9/23/21,372.98
9/22/21,369.57
9/21/21,366.15
9/20/21,365.7
9/17/21,373.83
9/16/21,378.31
9/15/21,378.05
9/14/21,375.26
9/13/21,376.33
9/10/21,376.59
9/9/21,379.47
9/8/21,380.78
9/7/21,382.11
9/3/21,381.57
9/2/21,380.4
9/1/21,380.58
8/31/21,379.95
8/30/21,380.26
8/27/21,376.04
8/26/21,372.42
8/25/21,374.8
8/24/21,374.37
8/23/21,373.23
8/20/21,367.73
8/19/21,363.96
8/18/21,362.21
8/17/21,365.73
8/16/21,368.98
8/13/21,368.82
8/12/21,367.53
8/11/21,366.21
8/10/21,366.84
8/9/21,368.73
8/6/21,368.05
8/5/21,369.67
8/4/21,367.34
8/3/21,366.81
8/2/21,364.6
7/30/21,364.57
7/29/21,366.48
7/28/21,365.83
7/27/21,364.43
7/26/21,368.49
7/23/21,368.2
7/22/21,363.95
7/21/21,361.56
7/20/21,358.79
7/19/21,354.67
7/16/21,357.6
7/15/21,360.52
7/14/21,363.07
7/13/21,362.42
7/12/21,362.42
7/9/21,361.01
7/8/21,358.77
7/7/21,360.95
7/6/21,360.19
7/2/21,358.64
7/1/21,354.57
6/30/21,354.43
6/29/21,354.99
6/28/21,353.71
6/25/21,349.46
6/24/21,349.89
6/23/21,347.74
6/22/21,347.57
6/21/21,344.36
6/18/21,342.63
6/17/21,345.34
6/16/21,341.01
6/15/21,342.26
6/14/21,344.51
6/11/21,341.24
6/10/21,340.35
6/9/21,336.84
6/8/21,336.76
6/7/21,336.6
6/4/21,335.6
6/3/21,330
6/2/21,333.47
6/1/21,332.82
5/28/21,333.93
5/27/21,332.88
5/26/21,334.13
5/25/21,332.97
5/24/21,332.51
5/21/21,327.01
5/20/21,328.83
5/19/21,322.59
5/18/21,322.22
5/17/21,324.41
5/14/21,326.39
5/13/21,319.34
5/12/21,316.89
5/11/21,325.31
5/10/21,325.76
5/7/21,334.2
5/6/21,331.51
5/5/21,329.03
5/4/21,330.14
5/3/21,336.19
4/30/21,337.99
4/29/21,340.22
4/28/21,339
4/27/21,340.15
4/26/21,341.63
4/23/21,339.42
4/22/21,335.2
4/21/21,339.29
4/20/21,336.41
4/19/21,338.88
4/16/21,342.01
4/15/21,341.61
4/14/21,336.51
4/13/21,340.6
4/12/21,336.67
4/9/21,337.11
4/8/21,335.08
4/7/21,331.62
4/6/21,330.82
4/5/21,331.05
4/1/21,324.57
3/31/21,319.13
3/30/21,314.32
3/29/21,315.91
3/26/21,316
3/25/21,311.33
3/24/21,311.87
3/23/21,317.22
3/22/21,318.61
3/19/21,313.14
3/18/21,312.04
3/17/21,321.9
3/16/21,320.58
3/15/21,318.83
3/12/21,315.46
3/11/21,318.04
3/10/21,310.88
3/9/21,311.77
3/8/21,299.94
3/5/21,308.68
3/4/21,304.1
3/3/21,309.16
3/2/21,318.4
3/1/21,323.59
2/26/21,314.14
2/25/21,312.83
2/24/21,324.13
2/23/21,321.48
2/22/21,322.44
2/19/21,331.02
2/18/21,332.47
2/17/21,333.93
2/16/21,335.54
2/12/21,336.45
2/11/21,334.58
