Date,Close/Last,Volume,Open,High,Low
01/28/2022,441.95,164457400,432.68,442,427.82
01/27/2022,431.24,149878300,438.26,441.59,429.45
01/26/2022,433.38,186391100,440.72,444.04,428.86
01/25/2022,434.47,167997300,433.06,439.72,427.15
01/24/2022,439.84,252496700,432.03,440.38,420.76
01/21/2022,437.98,202271200,445.56,448.06,437.95
01/20/2022,446.75,122379700,453.75,458.74,444.5
01/19/2022,451.75,109357600,458.13,459.6124,451.46
01/18/2022,456.49,109872400,459.74,459.96,455.31
01/14/2022,464.72,95890950,461.19,465.09,459.9
01/13/2022,464.53,91173120,472.19,472.88,463.44
01/12/2022,471.02,67605440,471.59,473.2,468.94
01/11/2022,469.75,74303060,465.23,469.85,462.05
01/10/2022,465.51,119362000,462.7,465.74,456.5973
01/07/2022,466.09,85111590,467.95,469.2,464.65
01/06/2022,467.94,86858900,467.89,470.82,465.43
01/05/2022,468.38,104538900,477.16,477.98,468.2801
01/04/2022,477.55,71178680,479.22,479.98,475.58
01/03/2022,477.71,72668230,476.3,477.85,473.85
12/31/2021,474.96,65237430,475.64,476.86,474.67
12/30/2021,476.16,55329040,477.93,479,475.67
12/29/2021,477.48,54502960,476.98,478.56,475.92
12/28/2021,476.87,47274590,477.72,478.81,476.06
12/27/2021,477.26,56808620,472.06,477.31,472.01
12/23/2021,470.6,56439750,468.75,472.19,468.64
12/22/2021,467.69,58890220,462.79,467.81,462.58
12/21/2021,463.06,69806260,458.61,463.21,456.31
12/20/2021,454.98,107134800,454.48,455.4,451.14
12/17/2021,459.87,135636500,461.55,464.74,458.06
12/16/2021,466.45,116568600,472.57,472.87,464.8
12/15/2021,470.6,116899300,463.42,470.86,460.74
12/14/2021,463.36,97264130,463.09,465.74,460.25
12/13/2021,466.57,87724680,470.19,470.56,466.27
12/10/2021,470.74,77159760,469.23,470.9,466.51
12/09/2021,466.35,61272570,468.15,469.6291,466.14
12/08/2021,469.52,72238780,468.7,470,466.83
12/07/2021,468.28,95484690,464.41,468.88,458.6546
12/06/2021,458.79,98977530,456.13,460.79,453.56
12/03/2021,453.42,137331600,459.17,460.3,448.92
12/02/2021,457.4,127637800,450.73,459.07,450.31
12/01/2021,450.5,132485800,461.64,464.67,450.29
11/30/2021,455.56,148559600,462,464.03,455.3
11/29/2021,464.6,86268820,464.07,466.56,461.73
11/26/2021,458.97,112669600,462.34,463.9,457.77
11/24/2021,469.44,61858810,466.06,469.57,465.19
11/23/2021,468.19,73206540,467.22,469.095,464.45
11/22/2021,467.57,72761950,470.89,473.54,467.35
11/19/2021,468.89,57315570,469.61,470.94,468.5
